loss,unrel_delivery_ratio,unrel_throughput,unrel_latency_avg,unrel_jitter,rel_delivery_ratio,rel_throughput,rel_latency_avg,rel_jitter,rel_skipped
0,100.00,43875.00,50.11,3.44,100.00,37877.00,50.10,3.20,0
1,98.93,43406.00,50.08,3.19,100.00,37877.00,55.64,3.09,0
2,97.90,42953.00,50.06,3.80,100.00,37877.00,62.39,3.59,0
3,97.17,42636.00,50.13,3.24,100.00,37877.00,67.58,2.94,0
5,95.47,41887.00,50.09,3.31,100.00,37877.00,77.64,12.60,0
8,92.36,40535.00,50.14,3.22,99.97,37865.00,93.92,12.37,1
10,90.10,39541.00,50.05,2.79,99.87,37825.00,98.76,18.53,4
15,84.29,37005.00,50.14,3.40,99.60,37723.00,126.78,17.03,12
20,79.69,34948.00,50.09,3.62,99.13,37551.00,146.15,16.69,26
30,70.46,30911.00,50.08,3.33,97.47,36921.00,181.25,13.90,76
40,59.72,26206.00,50.09,3.51,93.06,35240.00,208.19,29.50,208
